Unnamed: 0,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Structure Type,# Units in Structure (if multi unit),Latitude,Longitude,Fuel Moisture Date,PERCENT
59,2002,72.62106323,51.41127014,6.782572569,10/1/02,0.0,100.0,100.0,100.0,100.0,99.4,0.0,0.0,0.0,0.0,0.0,,201324,10/8/02,10/8/02,14.0,108.0377,644749.7656,5426.339138,inaccessible,inaccessible,unknown,1.0,,,10/15/02,60.0
60,2002,72.62106323,51.41127014,6.782572569,10/1/02,0.0,100.0,100.0,100.0,100.0,99.4,0.0,0.0,0.0,0.0,0.0,,201324,10/8/02,10/8/02,14.0,108.0377,644749.7656,5426.339138,inaccessible,inaccessible,unknown,1.0,,,10/29/02,59.0
61,2002,72.62106323,51.41127014,6.782572569,11/1/02,0.0,100.0,98.3,54.8,32.2,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,11/12/02,65.0
62,2002,72.62106323,51.41127014,6.782572569,11/1/02,0.0,100.0,98.3,54.8,32.2,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,11/26/02,71.0
63,2002,72.62106323,51.41127014,6.782572569,12/1/02,75.0,25.1,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,12/3/02,76.0
64,2002,72.62106323,51.41127014,6.782572569,12/1/02,75.0,25.1,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,12/24/02,92.0
65,2003,73.82855988,52.83791733,14.99463983,1/1/03,28.0,72.0,34.7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4293,1/6/03,1/10/03,13.0,805.6346,4760533.168,35569.19181,inaccessible,inaccessible,unknown,1.0,,,1/15/03,121.0
66,2003,73.82855988,52.83791733,14.99463983,1/1/03,28.0,72.0,34.7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4293,1/6/03,1/10/03,13.0,805.6346,4760533.168,35569.19181,inaccessible,inaccessible,unknown,1.0,,,1/29/03,146.0
67,2003,73.82855988,52.83791733,14.99463983,1/1/03,28.0,72.0,34.7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4054,1/6/03,1/6/03,13.0,142.8408,831471.8242,7375.82561,inaccessible,inaccessible,unknown,1.0,,,1/15/03,121.0
68,2003,73.82855988,52.83791733,14.99463983,1/1/03,28.0,72.0,34.7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4054,1/6/03,1/6/03,13.0,142.8408,831471.8242,7375.82561,inaccessible,inaccessible,unknown,1.0,,,1/29/03,146.0
69,2003,73.82855988,52.83791733,14.99463983,2/1/03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2401576,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,2/19/03,150.0
70,2003,73.82855988,52.83791733,14.99463983,3/1/03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.54363233,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/5/03,137.0
