OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
2076,2018,CA,CCO,LAC,FAIRMONT,00273722,2018-09-09 00:00:00+00:00,2018-09-09 00:00:00+00:00,14.0,7.0,1.0,219.2987,2010,1316299.03125,5748.20109397697
2077,2018,CA,CCO,LAC,OAK,00389425,2018-12-25 00:00:00+00:00,2018-12-25 00:00:00+00:00,11.0,1.0,1.0,2.18085,2010,13017.6640625,582.622201109047
2213,2018,CA,CCO,LAC,PICO,00221025,2018-07-23 00:00:00+00:00,2018-07-24 00:00:00+00:00,14.0,7.0,1.0,111.3536,2010,663352.50390625,6399.92933172952
2214,2018,CA,CCO,LAC,WOOLSEY,00338981,2018-11-08 00:00:00+00:00,2018-11-20 00:00:00+00:00,11.0,7.0,1.0,89551.38,2010,530077573.371094,657758.046565514
2457,2017,CA,CCO,LAC,ENCINAL,00125827,2017-04-29 00:00:00+00:00,2017-04-29 00:00:00+00:00,2.0,7.0,1.0,2.525276,2010,14933.80078125,750.120974597807
2458,2017,CA,CCO,LAC,PLACERITA,00187296,2017-06-25 00:00:00+00:00,2017-06-26 00:00:00+00:00,7.0,7.0,1.0,759.7584,2010,4525545.8359375,18978.9736384337
2459,2017,CA,CCO,LAC,LAKE,00178275,2017-06-17 00:00:00+00:00,2017-06-17 00:00:00+00:00,14.0,7.0,1.0,733.2616,2010,4385183.73828125,17739.3844126574
2460,2017,CA,CCO,LAC,STOKES,00191819,2017-06-29 00:00:00+00:00,2017-07-02 00:00:00+00:00,14.0,7.0,1.0,42.10419,2010,249150.1953125,2640.65544771803
2461,2017,CA,CCO,LAC,GAVINA,00143075,2017-05-15 00:00:00+00:00,2017-05-15 00:00:00+00:00,4.0,1.0,1.0,2.574129,2010,15311.2265625,712.967430517682
2462,2017,CA,CCO,LAC,MULHOLLAND,00147096,2017-05-19 00:00:00+00:00,2017-05-19 00:00:00+00:00,14.0,1.0,1.0,7.373501,2010,43624.45703125,1365.05840633091
2463,2017,CA,CCO,LAC,BARN,00157711,2017-05-29 00:00:00+00:00,2017-05-29 00:00:00+00:00,4.0,7.0,1.0,2.064039,2010,12330.96875,541.38648636913
2464,2017,CA,CCO,LAC,FIVE,00163449,2017-06-03 00:00:00+00:00,2017-06-03 00:00:00+00:00,14.0,7.0,1.0,25.30416,2010,151271.87109375,2686.85859822005
2465,2017,CA,CCO,LAC,SOUTH,00174063,2017-06-13 00:00:00+00:00,2017-06-13 00:00:00+00:00,4.0,1.0,1.0,9.507282,2010,57020.25390625,1177.2297938569
