boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,Medium (RCP 4.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2072,73.0861206055,81.3441009521,,80.9496917725,79.0728988647,80.3262786865,80.3389587402
2073,75.8464355469,81.046043396,,78.0601806641,77.7273483276,78.9970932007,77.39012146
2074,75.5424957275,82.7776031494,,81.1428375244,77.7294921875,79.3840866089,76.5587310791
2075,75.6219787598,83.2925262451,,79.1048126221,77.6636276245,78.4232788086,80.5885772705
2076,75.5637512207,82.1283111572,,79.3315734863,79.1460723877,79.6300201416,79.9452667236
2077,75.6598815918,80.9009094238,,80.1200561523,77.1076660156,79.1802368164,80.0205841064
2078,74.5050048828,81.8326644897,,78.6017456055,78.1201629639,80.2178955078,79.2022628784
2079,74.3830566406,82.8311004639,,80.1607055664,77.7955780029,80.5633087158,79.8968200684
2080,75.174621582,80.9323883057,,79.1906738281,77.7038879395,78.7179870605,77.9956359863
2081,75.2672348022,81.6807785034,,79.200012207,76.9063949585,80.9968261719,81.2378082275
2082,75.2436141968,82.3217773438,,80.2568969727,78.4678268433,79.2697143555,80.3067779541
2083,75.4942626953,82.8220367432,,78.3396148682,78.3583526611,80.9537582397,79.412651062
2084,74.7336883545,83.2954406738,,78.9683685303,77.375289917,80.6464691162,76.6544189453
2085,75.9966125488,82.2461395264,,79.1649627686,77.8322677612,82.1847229004,79.7733917236
2086,75.227684021,81.5811920166,,79.1874313354,80.590713501,80.8096160889,81.5811920166
2087,74.8545379639,82.5087127686,,80.7599639893,78.5579147339,80.0782623291,78.6638183594
2088,75.362701416,83.0288543701,,79.3748016357,77.1524887085,78.3729095459,79.8893432617
2089,75.2230148315,83.1849212646,,79.1574401855,77.7585449219,78.8068084717,78.0554504395
2090,75.0757980347,80.6045074463,,78.8278503418,78.2529296875,79.2050628662,78.5981750488
2091,75.1951141357,81.4865951538,,78.4452514648,78.2048187256,80.1853179932,79.2125854492
2092,75.591003418,82.333694458,,79.8863220215,79.0740509033,80.2204208374,79.5748596191
2093,75.9527282715,81.2247924805,,78.7073822021,78.8316955566,79.5754089355,79.9373016357
2094,75.2224655151,81.591293335,,77.3959503174,79.8639144897,81.5544891357,78.8286132812
2095,74.9287414551,84.2040634155,,79.6019439697,77.2408752441,80.1358261108,79.8087081909
2096,75.2149963379,81.0905914307,,78.9911651611,77.9854736328,79.5630493164,79.4228668213
2097,75.7125091553,83.7152862549,,79.0249481201,78.1666870117,81.1747436523,79.7138366699
2098,75.1573181152,82.6707000732,,78.4345932007,77.9974975586,80.6637191772,79.020111084
2099,75.4012680054,81.9738922119,,80.0137176514,79.2587280273,76.3432312012,78.3308868408
2100,76.0378112793,83.0815887451,,80.9020690918,78.5039672852,,
