OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
1405,2020,CA,CCO,LAC,AIRPORT,00149563,2020/05/21 00:00:00+00,2020/05/21 00:00:00+00,10,1,1,3.001326,,,{7B3C5243-CCCB-4244-812B-181248439696},,,2020,17928.3515625,647.712235662552
1406,2020,CA,CCO,LAC,MESA,00207264,2020/07/13 00:00:00+00,2020/07/13 00:00:00+00,11,1,1,1.250532,,,{4DFA8DF1-BAE2-4E47-A1F9-BC8D9EC5DBD3},,,2020,7389.67578125,341.164339704946
1407,2020,CA,CCO,LAC,COLIMA,00169545,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,14,1,1,6.245241,,,{7B194478-4A28-41AC-B070-1F1C53B8A705},,,2020,36841.3125,913.027198090041
1408,2020,CA,CCO,LAC,HASLEY,00171441,2020/06/11 00:00:00+00,2020/06/11 00:00:00+00,2,1,1,6.671049,,,{A7881767-7566-4C05-B135-2E70FF8C607D},,,2020,39807.84375,1091.07305978108
1409,2020,CA,CCO,LAC,HILL,00163511,2020/06/04 00:00:00+00,2020/06/04 00:00:00+00,14,1,1,3.485558,,,{40B32CC5-F63E-4C34-B9EE-F77380C070B5},,,2020,20568.64453125,556.023711256184
1410,2020,CA,CCO,LAC,210TH,00198391,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,1,1,7.067647,,,{5F34D457-82C1-4CA8-90E3-DE3692FABAC8},,,2020,42477.21484375,1320.89377392804
1411,2020,CA,CCO,LAC,CALGROVE,00191517,2020/06/30 00:00:00+00,2020/06/30 00:00:00+00,2,1,1,4.228073,,,{7EF8596E-EC94-4D54-8827-6BD1D5C8642A},,,2020,25169.72265625,677.921531194218
1412,2020,CA,CCO,LAC,GROVE,00242462,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,14,1,1,1.798941,,,{C06BCE1D-A963-4B0F-93CC-6FE133A79F64},,,2020,10619.9140625,613.530621499692
1413,2020,CA,CCO,LAC,TOPANGA,00271897,2020/09/08 00:00:00+00,2020/09/08 00:00:00+00,10,1,1,6.732281,,,{F429DBAF-815A-460C-9ABC-1466153F36C8},,,2020,39790.87890625,861.944455107239
1414,2020,CA,CCO,LAC,PALM,00275442,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,14,1,1,8.40679,,,{0738318A-2C3A-4AA6-9ED3-53E6964BE171},,,2020,49643.26953125,935.250203511598
1415,2020,CA,CCO,LAC,NO NAME,00290998,2020/09/26 00:00:00+00,2020/09/26 00:00:00+00,10,1,1,3.013402,,,{2FD3861E-F516-4B88-8CCA-5F3F87B3D28C},,,2020,18110.921875,777.324041684401
1416,2020,CA,CCO,LAC,CANYON,00377420,2020/12/13 00:00:00+00,2020/12/13 00:00:00+00,11,1,1,7.26888,,,{8DACD89E-4CEF-4A44-AF69-675C220A78DD},,,2020,42854.96484375,1243.21599332351
1417,2020,CA,CCO,LAC,BANNING,00385995,2020/12/20 00:00:00+00,2020/12/20 00:00:00+00,11,3,1,1.529065,,,{B4EACF59-B0B2-40CD-963A-14E4AE3D6A69},,,2020,8908.9140625,466.336693910691
1467,2020,CA,CCO,LAC,VISTA,00172557,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,14,4,1,16.15369,,,{E2C843AD-E813-4A75-9030-9A76AF18E44A},,,2020,95632.7890625,3240.06921411074
