STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
691,2004-10-28,Chamise,None,76.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2004-11-12,Chamise,None,85.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2004-11-30,Chamise,None,96.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2004-12-10,Chamise,None,96.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2004-12-22,Chamise,None,106.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-01-22,Chamise,None,127.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-02-05,Chamise,None,168.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-02-19,Chamise,None,163.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-03-05,Chamise,None,145.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-03-19,Chamise,None,153.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-04-02,Chamise,None,139.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-04-16,Chamise,None,135.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-04-30,Chamise,None,138.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-05-14,Chamise,None,107.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-05-28,Chamise,None,107.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-06-11,Chamise,None,99.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-06-25,Chamise,None,97.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-07-16,Chamise,None,80.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-07-30,Chamise,None,80.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-08-13,Chamise,None,71.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-08-27,Chamise,None,67.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-10-08,Chamise,None,62.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-11-19,Chamise,None,70.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-12-03,Chamise,None,67.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-12-17,Chamise,None,64.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2005-12-31,Chamise,None,64.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-01-01,Chamise,None,64.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-01-13,Chamise,None,73.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-01-27,Chamise,None,84.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-02-10,Chamise,None,86.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-02-24,Chamise,None,88.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-03-10,Chamise,None,98.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-03-24,Chamise,None,112.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-04-14,Chamise,None,117.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-04-28,Chamise,None,122.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-05-12,Chamise,None,148.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-05-26,Chamise,None,136.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-06-09,Chamise,None,132.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-06-23,Chamise,None,100.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-07-07,Chamise,None,90.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-07-21,Chamise,None,84.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-08-04,Chamise,None,76.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2006-08-18,Chamise,None,69.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
