0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
95.3,d_19230701,4.7,0,0,0,0,0,0,0,0,0,0
81.6,d_19230801,18.4,0.6,0,0,0,0,0,0,0,0,0
0,d_19230901,100,27.5,0,0,0,0,0,0,0,0,0
0.7,d_19231001,99.3,21.3,0,0,0,0,0,0,0,0,0
44.9,d_19231101,55.1,6.1,0,0,0,0,0,0,0,0,0
81.8,d_19231201,18.2,0.1,0,0,0,0,0,0,0,0,0
0,d_19240101,100,100,61.1,0.3,0,0,0,0,0,0,0
0,d_19240201,100.1,100.1,100.1,86.3,45.6,0,0,0,0,0,0
0,d_19240301,99.9,96.4,35.6,0,0,0,0,0,0,0,0
2.9,d_19240401,97.1,69.9,1.4,0,0,0,0,0,0,0,0
0.2,d_19240501,99.8,78.5,18.4,0,0,0,0,0,0,0,0
0,d_19240601,99.9,83.3,29.1,0.5,0,0,0,0,0,0,0
0,d_19240701,100,84.8,37.7,1,0,0,0,0,0,0,0
0.3,d_19240801,99.8,83.4,2.1,0,0,0,0,0,0,0,0
16.2,d_19240901,83.8,18.9,0,0,0,0,0,0,0,0,0
98.7,d_19241001,1.3,0,0,0,0,0,0,0,0,0,0
56.3,d_19241101,0,0,0,0,0,0,43.7,9.7,0,0,0
73.9,d_19241201,26.2,8.7,0,0,0,0,0,0,0,0,0
0,d_19250101,100.1,99.2,49.8,26.8,0,0,0,0,0,0,0
0,d_19250201,99.9,99.9,97.2,52.9,14.7,0,0,0,0,0,0
0,d_19250301,100,100,91.5,12.9,0,0,0,0,0,0,0
0,d_19250401,99.9,95.5,8.9,0,0,0,0,0,0,0,0
0,d_19250501,100,95.4,4.5,0,0,0,0,0,0,0,0
0,d_19250601,100,83.7,0,0,0,0,0,0,0,0,0
0,d_19250701,100,88.4,0,0,0,0,0,0,0,0,0
0,d_19250801,100,57.7,0,0,0,0,0,0,0,0,0
13,d_19250901,87,16,0,0,0,0,0,0,0,0,0
100,d_19251001,0,0,0,0,0,0,0,0,0,0,0
81.1,d_19251101,0,0,0,0,0,0,18.9,0,0,0,0
64.3,d_19251201,0,0,0,0,0,0,35.6,1,0,0,0
72.9,d_19260101,27.1,4.5,0,0,0,0,0,0,0,0,0
76.8,d_19260201,23.2,2.5,0,0,0,0,0,0,0,0,0
19.5,d_19260301,80.5,37.4,0,0,0,0,0,0,0,0,0
100,d_19260401,0,0,0,0,0,0,0,0,0,0,0
100,d_19260501,0,0,0,0,0,0,0,0,0,0,0
100,d_19260601,0,0,0,0,0,0,0,0,0,0,0
100,d_19260701,0,0,0,0,0,0,0,0,0,0,0
100,d_19260801,0,0,0,0,0,0,0,0,0,0,0
100,d_19260901,0,0,0,0,0,0,0,0,0,0,0
