boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,Medium (RCP 4.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2060,52.5786552429,57.2656402588,,57.0183944702,56.2165031433,54.8301925659,54.287689209
2061,53.0478820801,58.3825683594,,56.4051361084,54.3722839355,55.6923980713,55.828742981
2062,52.3227310181,59.067565918,,57.2157096863,55.5398025513,56.619644165,54.8328323364
2063,52.9366455078,57.9133987427,,57.1943435669,55.1029281616,56.573009491,54.9888381958
2064,53.1764221191,57.5941886902,,57.4252166748,55.2322921753,57.4853668213,55.8175354004
2065,53.5254592896,58.5697174072,,56.8576126099,55.0702972412,57.076675415,55.4356498718
2066,52.3792533875,58.0820388794,,56.845413208,54.7593307495,57.4042358398,55.169342041
2067,53.3764266968,57.8663749695,,56.4454040527,53.9364013672,56.6522216797,57.2032394409
2068,51.9357376099,58.0272140503,,56.8971061707,54.6460647583,56.8103141785,55.436416626
2069,52.5511894226,59.408744812,,56.4372177124,55.4720153809,57.0779418945,55.3586349487
2070,52.5900802612,58.649810791,,56.944732666,55.6689453125,56.2689628601,56.7984466553
2071,52.8192558289,57.9049911499,,56.2861022949,54.8866081238,56.7881774902,55.8721389771
2072,52.3393707275,58.6744766235,,56.6779289246,56.1185073853,57.8020477295,56.8760681152
2073,53.2122344971,57.8685722351,,55.5577087402,55.6117630005,56.3521842957,54.6326599121
2074,52.6781387329,58.9942855835,,58.0207901001,56.0396232605,58.1128540039,54.4033737183
2075,53.3336334229,59.1216201782,,56.3831634521,55.4950866699,56.4012374878,56.2645683289
2076,53.4638214111,58.8210868835,,57.2115898132,56.1442108154,58.4715576172,56.6125602722
2077,52.7211456299,58.6007537842,,57.011089325,55.37159729,56.9758224487,55.9553604126
2078,52.7491073608,58.8764038086,,56.3086242676,56.4214553833,57.913230896,55.7841911316
2079,53.1624145508,59.2557601929,,57.8773612976,56.0473709106,56.9591789246,56.6126708984
2080,52.7851409912,58.8131217957,,58.2259025574,54.923412323,56.272808075,54.8423881531
2081,53.1351699829,58.4722709656,,57.2592697144,55.2995834351,57.597869873,57.0398712158
2082,53.4077377319,58.6827697754,,57.1879119873,56.7916374207,56.9692306519,56.5770187378
2083,52.0137405396,58.7876358032,,55.8518676758,56.1297111511,57.4537277222,55.9851837158
2084,52.994430542,59.011756897,,57.6656570435,55.4338378906,59.011756897,55.8673553467
2085,53.0461807251,59.3930892944,,57.5972099304,55.3129882812,59.3930892944,56.2962112427
2086,52.8706169128,58.3638916016,,57.5366210938,56.4227142334,58.3276901245,57.558265686
2087,53.1965789795,59.360458374,,58.4509048462,55.5902824402,58.2763290405,55.7985839844
